filename	read_id	run_id	channel	start_time	duration	num_events	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	barcode_arrangement	barcode_score	barcode_full_arrangement	front_score	rear_score	front_begin_index	front_foundseq_length	rear_end_index	rear_foundseq_length	kit	variant
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch182_read11_strand.fast5	a7645c5a-e1dd-4ad4-871b-30e49e87943d	c84e1b3b351694f5ea8585eb5e8d11e136f15159	182	16.971	1.16425	678	0.30475	678	0.8595	678	355	10.514	-0.0015	barcode05	79.69999694824219	BC05_var2	79.69999694824219	29.72881317138672	22	58	0	32	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch182_read32_strand.fast5	ac8d8235-ea31-47e1-9f32-0283f25136f8	c84e1b3b351694f5ea8585eb5e8d11e136f15159	182	55.29175	3.30625	2583	0.06625	2583	3.24	2583	1629	11.325	-0.0009	barcode03	63.66666793823242	BC03_var2	63.66666793823242	23.288135528564453	17	60	0	40	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch181_read5_strand.fast5	ad8d549d-3fdd-4f6e-a829-f886e2a8e941	c84e1b3b351694f5ea8585eb5e8d11e136f15159	181	9.55375	1.6765	1184	0.14	1184	1.5365	1184	581	12.13	-0.0012	barcode01	79.08474731445312	BC01_var1	79.08474731445312	7.833333492279053	31	57	34	47	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch183_read55_strand.fast5	af29650e-d013-4a64-ba7c-4851fbd3b777	c84e1b3b351694f5ea8585eb5e8d11e136f15159	183	61.07075	1.0925	0	0.0	0	0.0	0	0	0.0	0.0	unclassified	0.0	n/a	-inf	-inf	-1	0	-1	0	n/a	n/a
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch182_read15_strand.fast5	b2d4a3cf-c96a-4bf1-9964-8c05a292fc0d	c84e1b3b351694f5ea8585eb5e8d11e136f15159	182	31.541	1.3805	993	0.14025	993	1.24025	993	570	10.961	-0.0005	barcode02	80.19999694824219	BC02_var2	80.19999694824219	47.050846099853516	30	56	0	50	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch179_read40_strand.fast5	b79cd107-48b7-43f6-a988-73bf20c970cb	c84e1b3b351694f5ea8585eb5e8d11e136f15159	179	53.549	1.479	1085	0.1425	1085	1.3365	1085	348	9.677	-0.0031	unclassified	40.339622497558594	LWB05_var1	21.471698760986328	40.339622497558594	5	43	0	33	LBW	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch181_read83_strand.fast5	be490a1b-329c-4a61-b213-5aba7e16fda8	c84e1b3b351694f5ea8585eb5e8d11e136f15159	181	90.96575	1.24475	965	0.0	965	1.24475	965	399	12.277	-0.0024	barcode02	95.15254211425781	BC02_var2	22.700000762939453	95.15254211425781	94	55	72	60	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch183_read45_strand.fast5	c25291b0-8dfb-4d18-bd26-55bd88d7c407	c84e1b3b351694f5ea8585eb5e8d11e136f15159	183	54.49675	1.2885	691	0.41725	691	0.87125	691	433	11.564	-0.0007	unclassified	48.36666488647461	BC05_var1	32.13559341430664	48.36666488647461	2	37	0	47	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch181_read12_strand.fast5	c34e6601-4138-4f6a-8bd9-16e91d390647	c84e1b3b351694f5ea8585eb5e8d11e136f15159	181	22.01475	1.3465	947	0.13875	947	1.20775	947	484	13.198	-0.0009	barcode07	72.03333282470703	BC07_var2	72.03333282470703	57.49152374267578	0	57	0	42	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch182_read39_strand.fast5	c74d92ba-e7be-419b-960f-bd070ffcb414	c84e1b3b351694f5ea8585eb5e8d11e136f15159	182	63.2645	4.202	3195	0.0725	3195	4.1295	3195	142	5.554	-0.0017	unclassified	35.084747314453125	BC81_var1	35.084747314453125	4.166666507720947	27	36	16	47	BC	var1
